Unnamed: 0,X,X_1,X_2,X_3,X_4,X_5,y
0,0,0,0,0,0,0,0.037749886
1,0.01010101,0,0,0,0,1,0.099743665
2,0.02020202,0,0,0,0,0,0.142238651
3,0.03030303,0,0,0,1,0,0.1200331572824094
4,0.04040404,0,1,1,0,0,0.1877489220081462
5,0.050505051,0,0,0,1,0,0.1988538090130386
6,0.060606061,0,0,0,1,0,0.2505321105763562
7,0.070707071,0,2,1,0,0,0.2317268428483855
8,0.080808081,2,0,0,1,2,0.2504917041497445
9,0.090909091,2,0,2,1,0,0.3561820452987088
10,0.101010101,0,0,2,0,0,0.3703189888756835
11,0.1111111111111111,0,0,0,2,0,0.362396218
12,0.1212121212121212,1,0,0,1,0,0.4617207824134749
13,0.1313131313131313,0,2,0,1,0,0.4253968617893156
14,0.1414141414141414,1,3,2,0,0,0.4879293351837563
15,0.1515151515151515,0,0,0,3,1,0.4827565973394982
16,0.1616161616161616,1,0,0,1,0,0.5279214411251851
17,0.1717171717171717,3,0,0,1,2,0.5466377639718946
18,0.1818181818181818,1,0,2,2,2,0.5917583534178981
19,0.1919191919191919,2,1,1,0,2,0.6340489193158261
20,0.202020202,0,0,2,0,1,0.6189708588386776
21,0.2121212121212121,1,0,2,1,1,0.7333952293576995
22,0.2222222222222222,3,0,3,2,3,0.7139545353807849
23,0.2323232323232323,1,0,3,1,0,0.7740468804731824
24,0.2424242424242424,2,1,2,3,1,0.7850502164390283
25,0.2525252525252525,1,0,1,0,1,0.767079135
26,0.2626262626262626,2,1,2,0,0,0.8735168950468558
27,0.2727272727272727,3,0,1,0,2,0.873248919
28,0.2828282828282829,5,0,5,1,3,0.8954369955585444
29,0.2929292929292929,3,0,1,2,1,0.9371359764631672
30,0.303030303,1,2,2,1,6,0.956463947
31,0.3131313131313131,2,1,4,1,2,1.009085159348885
32,0.3232323232323232,0,2,4,1,0,1.041770345
33,0.3333333333333333,3,2,4,4,1,1.0947949932226535
34,0.3434343434343435,5,3,1,3,5,1.0869926201950608
35,0.3535353535353536,4,2,7,1,0,1.092237672032233
36,0.3636363636363636,5,0,3,2,3,1.1573975275581612
37,0.3737373737373737,1,0,5,3,1,1.1290350943828629
38,0.3838383838383838,2,0,7,1,3,1.166072878628941
39,0.393939394,3,0,2,2,2,1.216657729469189
40,0.4040404040404041,2,4,5,3,2,1.2668053304072924
41,0.4141414141414142,4,3,6,2,4,1.2464902666338342
42,0.4242424242424242,3,1,5,0,1,1.303779840057127
43,0.4343434343434343,2,1,5,1,6,1.3507139188816364
44,0.4444444444444445,2,2,4,3,3,1.3906769192441817
45,0.4545454545454546,4,1,3,0,2,1.3901920486698305
46,0.4646464646464647,2,3,6,2,4,1.4089926995261055
47,0.4747474747474748,4,2,2,1,4,1.4850133359653617
48,0.4848484848484848,2,3,3,3,1,1.509910506559335
49,0.494949495,1,6,3,3,4,1.5591090262285972
50,0.5050505050505051,4,2,7,2,1,1.595165548765583
51,0.5151515151515152,4,4,2,3,6,1.5944601060956785
52,0.5252525252525253,5,4,5,3,2,1.6325596983228896
53,0.5353535353535354,2,1,6,5,4,1.6514014421446035
54,0.5454545454545455,7,0,5,1,6,1.7086043802579414
55,0.5555555555555556,5,2,5,2,4,1.692140249862559
56,0.5656565656565657,4,3,3,0,3,1.7945965921077374
57,0.5757575757575758,6,3,0,2,4,1.8128815233250968
58,0.5858585858585859,4,5,1,1,8,1.7956751974631526
59,0.595959596,7,2,6,5,3,1.7946572920479162
60,0.6060606060606061,11,1,10,3,4,1.888321253643027
61,0.6161616161616162,4,4,2,3,2,1.917944277
62,0.6262626262626263,1,2,5,1,2,1.925709580059329
63,0.6363636363636365,4,3,4,3,5,1.987231923467456
64,0.6464646464646465,8,1,5,2,5,2.014772771987083
65,0.6565656565656566,6,2,7,5,1,2.0308094607373826
66,0.6666666666666667,4,5,10,4,4,2.047899954153086
67,0.6767676767676768,7,1,4,8,5,2.076197424028374
68,0.686868687,3,1,2,5,7,2.0850095736787075
69,0.696969697,5,3,4,2,4,2.1655797541338027
70,0.7070707070707072,4,3,3,7,5,2.213167089431063
71,0.7171717171717172,5,4,7,4,4,2.2481511181804046
72,0.7272727272727273,3,2,5,5,5,2.268159373025474
73,0.7373737373737375,3,4,10,0,4,2.285589821775408
